iter	Passed	Remaining
0	1	137
1	2	137
2	4	139
3	5	132
4	6	132
5	8	130
6	9	129
7	11	128
8	12	128
9	13	125
10	15	123
11	16	122
12	18	121
13	19	120
14	21	119
15	22	118
16	23	116
17	25	115
18	26	114
19	28	112
20	29	110
21	30	108
22	32	107
23	33	106
24	34	104
25	36	103
26	37	102
27	39	101
28	40	99
29	41	97
30	43	96
31	44	94
32	45	93
33	47	91
34	48	90
35	49	88
36	51	87
37	52	85
38	54	84
39	55	83
40	56	81
41	57	79
42	58	78
43	60	76
44	61	75
45	62	73
46	64	72
47	65	70
48	66	69
49	68	68
50	69	66
51	70	65
52	72	63
53	73	62
54	74	60
55	75	59
56	76	58
57	78	56
58	79	55
59	80	53
60	82	52
61	83	51
62	84	49
63	86	48
64	87	47
65	88	45
66	89	44
67	91	42
68	92	41
69	93	40
70	94	38
71	96	37
72	97	36
73	98	34
74	100	33
75	101	32
76	102	30
77	104	29
78	105	28
79	106	26
80	108	25
81	109	24
82	110	22
83	112	21
84	113	19
85	114	18
86	115	17
87	117	15
88	118	14
89	119	13
90	121	11
91	122	10
92	123	9
93	124	7
94	126	6
95	127	5
96	129	3
97	130	2
98	131	1
99	132	0
